features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a tool,categorising,1.0,1.0,
has handle,sensory,0.95,0.88,0.03
has teeth,sensory,0.95,0.12,0.06
is made of metal,sensory,0.68,0.88,0.04
has blade,sensory,0.63,0.5,0.06
is sharp,sensory,0.58,0.5,0.06
is long and/or thin,sensory,0.32,0.38,0.02
is flexible,sensory,0.26,0.12,0.03
is made of wood,sensory,0.26,0.62,0.01
can cut,functional,0.84,0.5,0.09
can be sharpened,functional,0.26,0.38,0.06
can be played,functional,0.21,0.12,0.07
is useful,functional,0.16,0.75,0.01
is handheld,functional,0.11,0.88,0.03
is dangerous,encyclopaedic,0.16,0.5,0.11
is powered,encyclopaedic,0.16,0.25,0.04
is used in metalwork,encyclopaedic,0.16,0.25,0.05
is used in woodwork,encyclopaedic,0.11,0.12,0.03
