features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a bird,categorising,0.9,1.0,
has feathers,sensory,0.85,1.0,0.07
has beak,sensory,0.7,1.0,0.07
has feet,sensory,0.7,0.75,0.06
has webbed feet,sensory,0.65,0.38,0.1
has wings,sensory,0.6,1.0,0.07
can quack,sensory,0.4,0.12,0.02
has legs,sensory,0.35,0.75,0.12
is coloured,sensory,0.35,0.25,0.09
has tail,sensory,0.2,0.38,0.11
can make a noise,sensory,0.15,0.62,0.03
has eyes,sensory,0.15,0.75,0.13
is small,sensory,0.15,0.38,0.02
can swim,functional,0.9,0.38,0.04
can fly,functional,0.85,0.75,0.14
is edible,functional,0.63,0.38,0.1
can dive,functional,0.6,0.38,0.1
can lay eggs,functional,0.4,1.0,0.05
can walk,functional,0.25,0.75,0.08
is found near water,encyclopaedic,0.45,0.38,0.04
is wild,encyclopaedic,0.25,0.62,0.09
is domestic,encyclopaedic,0.15,0.12,0.02
