features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a household item,categorising,0.25,0.75,
is a furniture,categorising,0.85,0.06,
has legs,sensory,0.95,0.12,0.07
has seat,sensory,0.8,0.06,0.06
is made of wood,sensory,0.7,0.31,0.01
is small,sensory,0.4,0.69,0.03
has padding,sensory,0.28,0.06,0.03
is made of metal,sensory,0.25,0.56,0.04
is square,sensory,0.25,0.31,0.16
has struts,sensory,0.2,0.06,0.03
is round,sensory,0.16,0.44,0.03
is light,sensory,0.15,0.44,0.02
is made of plastic,sensory,0.15,0.5,0.03
is stable,sensory,0.15,0.06,0.03
is tall,sensory,0.15,0.06,0.03
can be sat on,functional,0.65,0.06,0.03
can be stood on,functional,0.3,0.06,0.03
can be carried,functional,0.2,0.56,0.04
can be polished,functional,0.15,0.12,0.07
can support feet,functional,0.15,0.06,0.03
