features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a mammal,categorising,0.11,0.5,
is a animal,categorising,0.95,0.88,
has long ears,sensory,1.0,0.06,0.07
has fur,sensory,0.79,0.69,0.11
has tail,sensory,0.79,0.81,0.11
has large ears,sensory,0.68,0.12,0.09
has legs,sensory,0.68,0.88,0.12
has small tail,sensory,0.53,0.25,0.14
has four legs,sensory,0.47,0.94,0.13
has eyes,sensory,0.37,1.0,0.13
is small,sensory,0.37,0.5,0.02
is fast,sensory,0.26,0.62,0.08
has whiskers,sensory,0.16,0.19,0.06
has white tail,sensory,0.16,0.06,0.07
is brown,sensory,0.16,0.5,0.05
can squeal,sensory,0.11,0.06,0.07
has body,sensory,0.11,0.31,0.14
has claws,sensory,0.11,0.31,0.04
has large eyes,sensory,0.11,0.06,0.06
has large hind legs,sensory,0.11,0.12,0.07
has nose,sensory,0.11,0.12,0.09
is soft,sensory,0.11,0.19,0.1
can jump,functional,0.74,0.56,0.09
can dig,functional,0.63,0.19,0.06
can run,functional,0.58,0.88,0.12
can breed,functional,0.37,0.56,0.07
is edible,functional,0.37,0.31,0.1
can eat,functional,0.16,0.94,0.11
can hear,functional,0.11,0.06,0.07
can hide,functional,0.11,0.19,0.08
can see,functional,0.11,0.25,0.1
can walk,functional,0.11,0.75,0.08
is agile,functional,0.11,0.25,0.12
is vegetarian,encyclopaedic,0.47,0.5,0.09
is wild,encyclopaedic,0.32,0.75,0.09
is docile,encyclopaedic,0.26,0.12,0.07
is a pest,encyclopaedic,0.16,0.19,0.08
is domesticated,encyclopaedic,0.16,0.38,0.05
is timid,encyclopaedic,0.16,0.06,0.07
is herbivorous,encyclopaedic,0.11,0.25,0.15
