features,feature type,dominance,distinctiveness,proportion of all intercorrelations significant
is a musical instrument,categorising,0.84,0.06,
has keys,sensory,0.79,0.06,0.05
has pedals,sensory,0.68,0.06,0.05
has lid,sensory,0.58,0.31,0.12
is made of wood,sensory,0.58,0.31,0.01
is large,sensory,0.47,0.31,0.07
can make a noise,sensory,0.32,0.06,0.08
has legs,sensory,0.32,0.12,0.07
has black keys,sensory,0.26,0.06,0.05
is grand,sensory,0.26,0.06,0.05
is made of ivory,sensory,0.26,0.06,0.05
has frame,sensory,0.21,0.06,0.09
is heavy,sensory,0.21,0.19,0.01
is upright,sensory,0.21,0.06,0.05
has case,sensory,0.16,0.06,0.05
has feet,sensory,0.11,0.06,0.05
has music-stand,sensory,0.11,0.06,0.05
is made of metal,sensory,0.11,0.56,0.04
is soft,sensory,0.11,0.19,0.09
can be played,functional,0.84,0.12,0.07
can be tuned,functional,0.37,0.06,0.05
can be polished,functional,0.16,0.12,0.07
has hammer,encyclopaedic,0.21,0.06,0.05
is expensive,encyclopaedic,0.21,0.06,0.13
